Id,Sentiment
0,neutral
1,neutral
2,neutral
3,positive
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,neutral
14,neutral
15,negative
16,neutral
17,neutral
18,neutral
19,neutral
20,neutral
21,neutral
22,neutral
23,neutral
24,positive
25,negative
26,neutral
27,positive
28,neutral
29,neutral
30,neutral
31,neutral
32,neutral
33,negative
34,neutral
35,positive
36,positive
37,neutral
38,negative
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,neutral
45,neutral
46,neutral
47,neutral
48,neutral
49,neutral
50,positive
51,neutral
52,neutral
53,positive
54,neutral
55,neutral
56,neutral
57,neutral
58,neutral
59,neutral
60,neutral
61,positive
62,neutral
63,positive
64,neutral
65,positive
66,negative
67,positive
68,negative
69,neutral
70,positive
71,neutral
72,neutral
73,neutral
74,neutral
75,positive
76,neutral
77,positive
78,positive
79,positive
80,neutral
81,neutral
82,neutral
83,neutral
84,neutral
85,neutral
86,positive
87,neutral
88,positive
89,neutral
90,neutral
91,neutral
92,positive
93,neutral
94,positive
95,positive
96,neutral
97,neutral
98,negative
99,positive
100,neutral
101,neutral
102,positive
103,negative
104,neutral
105,negative
106,neutral
107,positive
108,negative
109,neutral
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,neutral
117,neutral
118,neutral
119,neutral
120,neutral
121,neutral
122,positive
123,neutral
124,neutral
125,neutral
126,negative
127,positive
128,neutral
129,neutral
130,positive
131,positive
132,neutral
133,neutral
134,positive
135,neutral
136,neutral
137,neutral
138,neutral
139,neutral
140,positive
141,neutral
142,positive
143,positive
144,positive
145,positive
146,neutral
147,neutral
148,neutral
149,neutral
150,neutral
151,neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,neutral
158,neutral
159,negative
160,positive
161,neutral
162,positive
163,neutral
164,neutral
165,neutral
166,positive
167,neutral
168,neutral
169,neutral
170,neutral
171,negative
172,neutral
173,neutral
174,negative
175,positive
176,neutral
177,positive
178,neutral
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,positive
191,neutral
192,neutral
193,neutral
194,positive
195,neutral
196,positive
197,neutral
198,positive
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,neutral
205,neutral
206,negative
207,neutral
208,positive
209,neutral
210,neutral
211,neutral
212,neutral
213,neutral
214,neutral
215,positive
216,negative
217,neutral
218,neutral
219,neutral
220,positive
221,positive
222,neutral
223,neutral
224,positive
225,neutral
226,positive
227,neutral
228,neutral
229,positive
230,positive
231,neutral
232,neutral
233,positive
234,neutral
235,neutral
236,positive
237,neutral
238,neutral
239,negative
240,neutral
241,positive
242,neutral
243,neutral
244,neutral
245,neutral
246,neutral
247,neutral
248,neutral
249,neutral
250,neutral
251,neutral
252,neutral
253,neutral
254,positive
255,neutral
256,positive
257,negative
258,positive
259,positive
260,neutral
261,neutral
262,negative
263,neutral
264,neutral
265,neutral
266,positive
267,neutral
268,positive
269,negative
270,positive
271,neutral
272,neutral
273,neutral
274,positive
275,neutral
276,positive
277,negative
278,positive
279,neutral
280,neutral
281,neutral
282,negative
283,neutral
284,negative
285,neutral
286,neutral
287,positive
288,negative
289,positive
290,neutral
291,neutral
292,positive
293,neutral
294,neutral
295,neutral
296,positive
297,positive
298,neutral
299,neutral
300,negative
301,neutral
302,positive
303,neutral
304,positive
305,neutral
306,positive
307,neutral
308,neutral
309,neutral
310,neutral
311,neutral
312,neutral
313,neutral
314,neutral
315,neutral
316,positive
317,positive
318,neutral
319,neutral
320,positive
321,neutral
322,neutral
323,neutral
324,neutral
325,neutral
326,neutral
327,neutral
328,neutral
329,neutral
330,negative
331,neutral
332,positive
333,neutral
334,neutral
335,neutral
336,neutral
337,neutral
338,positive
339,positive
340,positive
341,neutral
342,neutral
343,neutral
344,neutral
345,neutral
346,neutral
347,neutral
348,neutral
349,negative
350,neutral
351,neutral
352,neutral
353,neutral
354,neutral
355,neutral
356,neutral
357,neutral
358,neutral
359,positive
360,neutral
361,positive
362,neutral
363,neutral
364,neutral
365,neutral
366,positive
367,neutral
368,neutral
369,neutral
370,neutral
371,neutral
372,positive
373,neutral
374,neutral
375,neutral
376,neutral
377,neutral
378,positive
379,neutral
380,positive
381,positive
382,neutral
383,neutral
384,neutral
385,positive
386,positive
387,neutral
388,positive
389,positive
390,negative
391,neutral
392,negative
393,positive
394,positive
395,negative
396,positive
397,neutral
398,negative
399,positive
400,neutral
401,neutral
402,neutral
403,positive
404,negative
405,negative
406,neutral
407,neutral
408,neutral
409,positive
410,neutral
411,neutral
412,neutral
413,neutral
414,positive
415,positive
416,neutral
417,neutral
418,neutral
419,positive
420,neutral
421,neutral
422,neutral
423,neutral
424,negative
425,neutral
426,neutral
427,neutral
428,neutral
429,neutral
430,positive
431,positive
432,positive
433,neutral
434,neutral
435,positive
436,neutral
437,neutral
438,neutral
439,neutral
440,positive
441,neutral
442,neutral
443,neutral
444,neutral
445,neutral
446,neutral
447,neutral
448,negative
449,neutral
450,neutral
451,positive
452,neutral
453,neutral
454,negative
455,neutral
456,negative
457,neutral
458,neutral
459,neutral
460,positive
461,neutral
462,neutral
463,neutral
464,positive
465,positive
466,positive
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,neutral
473,neutral
474,positive
475,neutral
476,neutral
477,neutral
478,neutral
479,neutral
480,neutral
481,neutral
482,neutral
483,neutral
484,positive
485,positive
486,neutral
487,neutral
488,neutral
489,neutral
490,neutral
491,positive
492,neutral
493,neutral
494,positive
495,positive
496,neutral
497,neutral
498,positive
499,neutral
500,positive
501,positive
502,neutral
503,negative
504,positive
505,positive
506,neutral
507,positive
508,negative
509,neutral
510,negative
511,neutral
512,positive
513,neutral
514,positive
515,neutral
516,neutral
517,neutral
518,neutral
519,positive
520,positive
521,neutral
522,neutral
523,neutral
524,positive
525,neutral
526,positive
527,positive
528,neutral
529,positive
530,neutral
531,neutral
532,neutral
533,neutral
534,neutral
535,neutral
536,neutral
537,neutral
538,negative
539,positive
540,neutral
541,neutral
542,neutral
543,positive
544,neutral
545,neutral
546,neutral
547,neutral
548,neutral
549,positive
550,neutral
551,neutral
552,neutral
554,positive
555,neutral
556,neutral
557,neutral
558,positive
559,neutral
560,neutral
561,neutral
562,neutral
563,neutral
564,negative
565,neutral
566,neutral
567,negative
568,neutral
569,negative
570,neutral
571,positive
572,negative
573,neutral
574,neutral
575,neutral
576,positive
577,negative
578,positive
579,neutral
580,neutral
581,neutral
582,neutral
583,neutral
584,neutral
585,positive
586,negative
587,neutral
588,neutral
589,positive
590,neutral
591,neutral
592,neutral
593,positive
594,neutral
595,neutral
596,positive
597,neutral
598,neutral
599,positive
600,positive
601,negative
602,neutral
603,neutral
604,neutral
605,neutral
606,negative
607,neutral
608,positive
609,neutral
610,neutral
611,neutral
612,neutral
613,neutral
614,neutral
615,neutral
616,neutral
617,positive
618,neutral
619,negative
620,neutral
621,negative
622,positive
623,neutral
624,positive
625,neutral
626,neutral
627,neutral
628,neutral
629,neutral
630,neutral
631,positive
632,positive
633,negative
634,neutral
635,neutral
636,positive
637,neutral
638,neutral
639,positive
640,neutral
641,neutral
642,neutral
643,neutral
644,negative
645,neutral
646,neutral
647,neutral
648,positive
649,positive
650,positive
651,neutral
652,positive
653,positive
654,neutral
655,neutral
656,neutral
657,neutral
658,positive
659,neutral
660,positive
661,neutral
662,neutral
663,negative
664,neutral
665,neutral
666,neutral
667,neutral
668,neutral
669,neutral
670,neutral
671,neutral
672,negative
673,neutral
674,neutral
675,neutral
676,neutral
677,neutral
678,negative
679,neutral
680,neutral
681,positive
682,neutral
683,neutral
684,positive
685,neutral
686,neutral
687,neutral
688,negative
689,positive
690,neutral
691,neutral
692,neutral
693,neutral
694,neutral
695,negative
696,positive
697,positive
698,positive
699,neutral
700,neutral
701,neutral
702,positive
703,neutral
704,positive
705,neutral
706,positive
707,neutral
708,neutral
709,neutral
710,neutral
711,positive
712,neutral
713,positive
714,neutral
715,neutral
716,neutral
717,positive
718,neutral
719,neutral
720,neutral
721,positive
722,neutral
723,positive
724,neutral
725,neutral
726,neutral
727,neutral
728,negative
729,neutral
730,neutral
731,neutral
732,neutral
733,neutral
734,neutral
735,neutral
736,neutral
737,positive
738,neutral
739,neutral
740,neutral
741,negative
742,neutral
743,neutral
744,neutral
745,negative
746,neutral
747,neutral
748,positive
749,neutral
750,neutral
751,neutral
752,neutral
753,neutral
754,neutral
755,neutral
756,neutral
757,neutral
758,neutral
759,negative
760,positive
761,neutral
762,neutral
763,neutral
764,positive
765,positive
766,negative
767,neutral
768,neutral
769,positive
770,positive
771,neutral
772,neutral
773,neutral
774,positive
775,neutral
776,neutral
777,neutral
778,neutral
779,positive
780,neutral
781,neutral
782,neutral
783,neutral
784,neutral
785,positive
786,neutral
787,neutral
788,neutral
789,positive
790,negative
791,neutral
792,positive
793,neutral
794,neutral
795,positive
796,neutral
797,negative
798,neutral
799,neutral
800,positive
801,neutral
802,neutral
803,negative
804,neutral
805,neutral
806,neutral
807,neutral
808,neutral
809,neutral
810,negative
811,neutral
812,positive
813,neutral
814,neutral
815,neutral
816,neutral
817,neutral
818,neutral
819,neutral
820,neutral
821,neutral
822,neutral
823,neutral
824,neutral
825,positive
826,neutral
827,positive
828,neutral
829,positive
830,neutral
831,neutral
832,neutral
833,neutral
834,neutral
835,neutral
836,neutral
837,neutral
838,neutral
839,neutral
840,neutral
841,neutral
842,positive
843,neutral
844,neutral
845,neutral
846,positive
847,negative
848,neutral
849,neutral
850,neutral
851,neutral
852,neutral
853,neutral
854,neutral
855,neutral
856,neutral
857,positive
858,neutral
859,neutral
860,neutral
861,neutral
862,neutral
863,neutral
864,neutral
865,neutral
866,neutral
867,neutral
868,neutral
869,positive
870,neutral
871,neutral
872,neutral
873,positive
874,positive
875,neutral
876,neutral
877,positive
878,positive
879,neutral
880,neutral
881,negative
882,neutral
883,neutral
884,positive
885,neutral
886,neutral
887,neutral
888,positive
889,neutral
890,neutral
891,neutral
892,neutral
893,neutral
894,neutral
895,negative
896,positive
897,neutral
898,neutral
899,neutral
900,neutral
901,neutral
902,positive
903,neutral
904,neutral
905,neutral
906,positive
907,neutral
908,positive
909,neutral
910,neutral
911,neutral
912,neutral
913,positive
914,positive
915,neutral
916,neutral
917,neutral
918,positive
919,neutral
920,neutral
921,neutral
922,neutral
923,neutral
924,neutral
925,neutral
926,neutral
927,neutral
928,positive
929,neutral
930,neutral
931,neutral
932,positive
933,neutral
934,neutral
935,positive
936,neutral
937,neutral
938,neutral
939,neutral
940,positive
941,negative
942,neutral
943,negative
944,neutral
945,neutral
946,neutral
947,negative
948,negative
949,negative
950,neutral
951,positive
952,negative
953,neutral
954,neutral
955,neutral
956,positive
957,neutral
958,neutral
959,positive
960,neutral
961,positive
962,negative
963,neutral
964,neutral
965,neutral
966,neutral
967,positive
968,neutral
969,positive
970,neutral
971,negative
972,neutral
973,neutral
974,neutral
975,negative
976,negative
977,neutral
978,positive
979,positive
980,neutral
981,positive
982,neutral
983,positive
984,neutral
985,neutral
986,neutral
987,positive
988,negative
989,positive
990,neutral
991,neutral
992,positive
993,neutral
994,neutral
995,neutral
996,positive
997,neutral
998,neutral
999,neutral
1000,neutral
1001,positive
1002,neutral
1003,neutral
1004,neutral
1005,positive
1006,positive
1007,negative
1008,neutral
1009,positive
1010,neutral
1011,neutral
1012,neutral
1013,neutral
1014,positive
1015,neutral
1016,positive
1017,positive
1018,positive
1019,neutral
1020,negative
1021,positive
1022,positive
1023,neutral
1024,positive
1025,neutral
1026,negative
1027,neutral
1028,negative
1029,neutral
1030,neutral
1031,positive
1032,neutral
1033,positive
1034,neutral
1035,neutral
1036,neutral
1037,neutral
1038,neutral
1039,neutral
1040,neutral
1041,neutral
1042,negative
1043,neutral
1044,neutral
1045,neutral
1046,neutral
1047,neutral
1048,negative
1049,neutral
1050,positive
1051,neutral
1052,negative
1053,positive
1054,neutral
1055,neutral
1056,positive
1057,neutral
1058,neutral
1059,neutral
1060,negative
1061,positive
1062,neutral
1063,neutral
1064,neutral
1065,neutral
1066,neutral
1067,negative
1068,neutral
1069,neutral
1070,neutral
1071,neutral
1072,positive
1073,positive
1074,neutral
1075,neutral
1076,neutral
1077,positive
1078,neutral
1079,positive
1080,neutral
1081,neutral
1082,neutral
1083,positive
1084,neutral
1085,neutral
1086,positive
1087,negative
1088,neutral
1089,neutral
1090,neutral
1091,positive
1092,positive
1093,neutral
1094,neutral
1095,positive
1096,positive
1097,neutral
1098,neutral
1099,neutral
1100,neutral
1101,positive
1102,neutral
1103,neutral
1104,neutral
1105,negative
1106,neutral
1107,neutral
1108,negative
1109,negative
1110,neutral
1111,neutral
1112,neutral
1113,neutral
1114,neutral
1115,neutral
1116,neutral
1117,neutral
1118,neutral
1119,neutral
1120,neutral
1121,neutral
1122,neutral
1123,negative
1124,negative
1125,negative
1126,neutral
1127,positive
1128,neutral
1129,neutral
1130,neutral
1131,negative
1132,neutral
1133,neutral
1134,neutral
1135,neutral
1136,neutral
1137,neutral
1138,neutral
1139,neutral
1140,neutral
1141,positive
1142,negative
1143,neutral
1144,neutral
1145,positive
1146,neutral
1147,neutral
1148,neutral
1149,neutral
1150,neutral
1151,neutral
1152,positive
1153,neutral
1154,neutral
1155,neutral
1156,neutral
1157,neutral
1158,neutral
1159,neutral
1160,positive
1161,neutral
1162,negative
1163,neutral
1164,neutral
1165,positive
1166,positive
1167,positive
1168,positive
1169,neutral
1170,neutral
1171,neutral
1172,positive
1173,neutral
1174,negative
1175,positive
1176,neutral
1177,negative
1178,positive
1179,positive
1180,neutral
1181,neutral
1182,neutral
1183,positive
1184,neutral
1185,positive
1186,neutral
1187,neutral
1188,neutral
1189,negative
1190,neutral
1191,neutral
1192,positive
1193,neutral
1194,neutral
1195,neutral
1196,negative
1197,positive
1198,neutral
1199,neutral
1200,neutral
1201,neutral
1202,neutral
1203,neutral
1204,neutral
1205,neutral
1206,negative
1207,neutral
1208,neutral
1209,positive
1210,negative
1211,neutral
1212,neutral
1213,positive
1214,negative
1215,neutral
1216,positive
1217,neutral
1218,positive
1219,neutral
1220,neutral
1221,neutral
1222,neutral
1223,neutral
1224,positive
1225,positive
1226,neutral
1227,positive
1228,neutral
1229,neutral
1230,neutral
1231,negative
1232,neutral
1233,neutral
1234,neutral
1235,neutral
1236,neutral
1237,negative
1238,neutral
1239,positive
1240,neutral
1241,positive
1242,negative
1243,neutral
1244,neutral
1245,neutral
1246,positive
1247,neutral
1248,neutral
1249,neutral
1250,neutral
1251,neutral
1252,neutral
1253,neutral
1254,neutral
1255,neutral
1256,neutral
1257,negative
1258,neutral
1259,neutral
1260,neutral
1261,neutral
1262,neutral
1263,neutral
1264,negative
1265,neutral
1266,neutral
1267,neutral
1268,negative
1269,neutral
1270,neutral
1271,positive
1272,positive
1273,positive
1274,positive
1275,neutral
1276,negative
1277,positive
1278,neutral
1279,neutral
1280,neutral
1281,neutral
1282,neutral
1283,neutral
1284,neutral
1285,neutral
1286,negative
1287,neutral
1288,negative
1289,negative
1290,negative
1291,positive
1292,negative
1293,neutral
1294,neutral
1295,neutral
1296,positive
1297,neutral
1298,neutral
1299,neutral
1300,neutral
1301,neutral
1302,positive
1303,neutral
1304,positive
1305,positive
1306,neutral
1307,positive
1308,neutral
1309,neutral
1310,neutral
1311,neutral
1312,neutral
1313,neutral
1314,neutral
1315,neutral
1316,negative
1317,neutral
1318,neutral
1319,positive
1320,negative
1321,neutral
1322,positive
1323,neutral
1324,neutral
1325,neutral
1326,neutral
1327,neutral
1328,neutral
1329,neutral
1330,neutral
1331,neutral
1332,neutral
1333,neutral
1334,negative
1335,positive
1336,positive
1337,positive
1338,neutral
1339,neutral
1340,neutral
1341,negative
1342,negative
1343,negative
1344,neutral
1345,neutral
1346,neutral
1347,neutral
1348,neutral
1349,neutral
1350,neutral
1351,positive
1352,neutral
1353,neutral
1354,positive
1355,neutral
1356,positive
1357,neutral
1358,positive
1359,positive
1360,neutral
1361,neutral
1362,neutral
1363,neutral
1364,neutral
1365,neutral
1366,neutral
1367,negative
1368,neutral
1369,neutral
1370,neutral
1371,positive
1372,neutral
1373,neutral
1374,positive
1375,neutral
1376,neutral
1377,neutral
1378,neutral
1379,neutral
1380,neutral
1381,neutral
1382,positive
1383,neutral
1384,neutral
1385,neutral
1386,neutral
1387,negative
1388,negative
1389,neutral
1390,positive
1391,neutral
1392,neutral
1393,neutral
1394,neutral
1395,negative
1396,negative
1397,neutral
1398,neutral
1399,neutral
1400,neutral
1401,neutral
1402,neutral
1403,neutral
1404,neutral
1405,neutral
1406,neutral
1407,neutral
1408,positive
1409,neutral
1410,positive
1411,negative
1412,neutral
1413,positive
1414,positive
1415,neutral
1416,neutral
1417,neutral
1418,neutral
1419,neutral
1420,neutral
1421,neutral
1422,neutral
1423,neutral
1424,neutral
1425,neutral
1426,neutral
1427,neutral
1428,negative
1429,neutral
1430,positive
1431,neutral
1432,neutral
1433,neutral
1434,negative
1435,neutral
1436,positive
1437,positive
1438,neutral
1439,neutral
1440,neutral
1441,neutral
1442,negative
1443,positive
1444,positive
1445,negative
1446,positive
1447,neutral
1448,neutral
1449,neutral
1450,neutral
1451,positive
1452,neutral
1453,neutral
1454,neutral
1455,positive
1456,neutral
1457,neutral
1458,neutral
1459,neutral
1460,neutral
1461,negative
1462,neutral
1463,neutral
1464,positive
1465,neutral
1466,neutral
1467,neutral
1468,positive
1469,neutral
1470,neutral
1471,positive
1472,neutral
1473,neutral
1474,neutral
1475,neutral
1476,positive
1477,neutral
1478,neutral
1479,neutral
1480,neutral
1481,positive
1482,neutral
1483,neutral
1484,neutral
1485,neutral
1486,neutral
1487,neutral
1488,negative
1489,neutral
1490,neutral
1491,neutral
1492,negative
1493,positive
1494,positive
1495,neutral
1496,positive
1497,negative
1498,positive
1499,neutral
1500,neutral
1501,neutral
1502,neutral
1503,negative
1504,negative
1505,neutral
1506,positive
1507,positive
1508,positive
1509,positive
1510,neutral
1511,neutral
1512,positive
1513,neutral
1514,neutral
1515,neutral
1516,neutral
1517,neutral
1518,positive
1519,negative
1520,positive
1521,neutral
1522,neutral
1523,neutral
1524,neutral
1525,neutral
1526,neutral
1527,neutral
1528,neutral
1529,negative
1530,neutral
1531,negative
1532,positive
1533,neutral
1534,positive
1535,neutral
1536,negative
1537,neutral
1538,neutral
1539,neutral
1540,neutral
1541,positive
1542,negative
1543,positive
1544,neutral
1545,neutral
1546,neutral
1547,neutral
1548,positive
1549,neutral
1550,neutral
1551,neutral
1552,positive
1553,neutral
1554,positive
1555,negative
1556,neutral
1557,neutral
1558,neutral
1559,neutral
1560,neutral
1561,neutral
1562,positive
1563,neutral
1564,neutral
1565,neutral
1566,neutral
1567,neutral
1568,negative
1569,neutral
1570,neutral
1571,neutral
1572,neutral
1573,neutral
1574,neutral
1575,positive
1576,neutral
1577,neutral
1578,neutral
1579,positive
1580,neutral
1581,positive
1582,neutral
1583,neutral
1584,neutral
1585,neutral
1586,neutral
1587,positive
1588,neutral
1589,neutral
1590,neutral
1591,positive
1592,neutral
1593,neutral
1594,negative
1595,neutral
1596,neutral
1597,positive
1598,neutral
1599,neutral
1600,neutral
1601,neutral
1602,neutral
1603,positive
1604,negative
1605,neutral
1606,neutral
1607,positive
1608,negative
1609,negative
1610,neutral
1611,neutral
1612,neutral
1613,neutral
1614,neutral
1615,neutral
1616,neutral
1617,positive
1618,negative
1619,neutral
1620,neutral
1621,neutral
1622,neutral
1623,negative
1624,neutral
1625,neutral
1626,neutral
1627,neutral
1628,neutral
1629,neutral
1630,neutral
1631,neutral
1632,neutral
1633,positive
1634,neutral
1635,negative
1636,neutral
1637,neutral
1638,negative
1639,neutral
1640,neutral
1641,neutral
1642,neutral
1643,neutral
1644,neutral
1645,neutral
1646,neutral
1647,positive
1648,neutral
1649,positive
1650,neutral
1651,positive
1652,negative
1653,neutral
1654,neutral
1655,neutral
1656,neutral
1657,negative
1658,neutral
1659,positive
1660,neutral
1661,neutral
1662,positive
1663,neutral
1664,neutral
1665,neutral
1666,positive
1667,neutral
1668,neutral
1669,neutral
1670,negative
1671,positive
1672,neutral
1673,neutral
1674,neutral
1675,neutral
1676,positive
1677,neutral
1678,positive
1679,positive
1680,positive
1681,positive
1682,neutral
1683,neutral
1684,neutral
1685,negative
1686,neutral
1687,negative
1688,negative
1689,neutral
1690,neutral
1691,negative
1692,negative
1693,neutral
1694,neutral
1695,positive
1696,neutral
1697,neutral
1698,neutral
1699,positive
1700,neutral
1701,neutral
1702,neutral
1703,neutral
1704,positive
1705,positive
1706,neutral
1707,positive
1708,neutral
1709,negative
1710,positive
1711,negative
1712,neutral
1713,neutral
1714,neutral
1715,neutral
1716,neutral
1717,neutral
1718,negative
1719,neutral
1720,neutral
1721,neutral
1722,neutral
1723,negative
1724,positive
1725,negative
1726,neutral
1727,neutral
1728,neutral
1729,negative
1730,neutral
1731,negative
1732,positive
1733,neutral
1734,neutral
1735,neutral
1736,positive
1737,neutral
1738,negative
1739,positive
1740,positive
1741,neutral
1742,neutral
1743,negative
1744,negative
1745,neutral
1746,neutral
1747,neutral
1748,positive
1749,neutral
1750,neutral
1751,neutral
1752,negative
1753,positive
1754,positive
1755,negative
1756,positive
1757,neutral
1758,neutral
1759,neutral
1760,neutral
1761,neutral
1762,neutral
1763,neutral
1764,positive
1765,neutral
1766,negative
1767,neutral
1768,positive
1769,neutral
1770,neutral
1771,negative
1772,negative
1773,neutral
1774,negative
1775,neutral
1776,neutral
1777,neutral
1778,neutral
1779,neutral
1780,neutral
1781,neutral
1782,neutral
1783,neutral
1784,neutral
1785,positive
1786,neutral
1787,positive
1788,neutral
1789,positive
1790,neutral
1791,neutral
1792,neutral
1793,neutral
1794,negative
1795,neutral
1796,neutral
1797,neutral
1798,negative
1799,negative
1800,neutral
1801,neutral
1802,neutral
1803,neutral
1804,positive
1805,neutral
1806,positive
1807,negative
1808,positive
1809,positive
1810,negative
1811,neutral
1812,neutral
1813,neutral
1814,neutral
1815,neutral
1816,neutral
1817,neutral
1818,neutral
1819,positive
1820,neutral
1821,neutral
1822,neutral
1823,neutral
1824,neutral
1825,negative
1826,neutral
1827,neutral
1828,neutral
1829,positive
1830,neutral
1831,neutral
1832,positive
1833,positive
1834,positive
1835,neutral
1836,neutral
1837,neutral
1838,neutral
1839,neutral
1840,neutral
1841,neutral
1842,positive
1843,negative
1844,neutral
1845,neutral
1846,negative
1847,neutral
1848,neutral
1849,neutral
1850,neutral
1851,neutral
1852,neutral
1853,neutral
1854,negative
1855,neutral
1856,positive
1857,neutral
1858,neutral
1859,neutral
1860,positive
1861,neutral
1862,positive
1863,neutral
1864,neutral
1865,neutral
1866,neutral
1867,negative
1868,neutral
1869,neutral
1870,neutral
1871,neutral
1872,neutral
1873,neutral
1874,neutral
1875,neutral
1876,neutral
1877,neutral
1878,neutral
1879,neutral
1880,positive
1881,neutral
1882,neutral
1883,neutral
1884,positive
1885,positive
1886,neutral
1887,neutral
1888,neutral
1889,neutral
1890,neutral
1891,neutral
1892,neutral
1893,neutral
1894,neutral
1895,positive
1896,neutral
1897,neutral
1898,neutral
1899,positive
1900,neutral
1901,positive
1902,neutral
1903,positive
1904,positive
1905,neutral
1906,neutral
1907,positive
1908,neutral
1909,neutral
1910,neutral
1911,neutral
1912,positive
1913,neutral
1914,negative
1915,neutral
1916,positive
1917,neutral
1918,neutral
1919,positive
1920,positive
1921,neutral
1922,neutral
1923,negative
1924,positive
1925,neutral
1926,neutral
1927,neutral
1928,neutral
1929,neutral
1930,negative
1931,neutral
1932,neutral
1933,neutral
1934,positive
1935,positive
1936,neutral
1937,neutral
1938,neutral
1939,neutral
1940,neutral
1941,neutral
1942,neutral
1943,neutral
1944,positive
1945,neutral
1946,neutral
1947,neutral
1948,neutral
1949,positive
1950,positive
1951,neutral
1952,neutral
1953,neutral
1954,negative
1955,neutral
1956,neutral
1958,positive
1959,neutral
1960,positive
1961,positive
1962,neutral
1963,neutral
1964,neutral
1965,neutral
1966,neutral
1967,neutral
1968,neutral
1970,positive
1971,neutral
1972,positive
1974,neutral
1976,neutral
1977,neutral
1978,neutral
1979,positive
1981,neutral
1984,neutral
1986,negative
1987,neutral
1989,positive
1990,negative
1991,neutral
1992,neutral
1993,neutral
1994,neutral
1995,neutral
1996,neutral
1997,neutral
1998,positive
1999,neutral
2000,neutral
2001,neutral
2002,negative
2003,neutral
2004,neutral
2005,neutral
2006,positive
2007,neutral
2008,neutral
2009,neutral
2010,neutral
2011,neutral
2013,neutral
2014,neutral
2015,neutral
2016,neutral
2017,neutral
2018,neutral
2019,positive
2021,positive
2022,negative
2023,neutral
2024,neutral
2025,neutral
2026,neutral
2027,neutral
2028,neutral
2029,neutral
2030,neutral
2031,neutral
2033,positive
2034,positive
2035,neutral
2036,neutral
2037,neutral
2038,neutral
2040,neutral
2041,neutral
2042,neutral
2043,neutral
2044,neutral
2045,neutral
2047,neutral
2048,neutral
2049,neutral
2052,neutral
2057,neutral
2058,neutral
2060,neutral
2061,neutral
2062,positive
2064,positive
2065,neutral
2066,neutral
2067,positive
2070,neutral
2073,neutral
2075,neutral
2076,neutral
2077,neutral
2078,negative
2079,neutral
2083,neutral
2084,neutral
2087,neutral
2088,neutral
